,COT_CONTS_NAME,COT_CONTS_ID,COT_VALUE_03,COT_COORD_X,COT_COORD_Y,COT_VALUE_04,COT_VALUE_05,COT_CONTS_STAT,COT_CONTS_GEOM,COT_EXTRA_DATA_02,COT_CONTS_TYPE,COT_GU_NAME,COT_THEME_SUB_ID,COT_ADDR_FULL_NEW,COT_COORD_TYPE,COT_ADDR_FULL_OLD,COT_TEL_NO
0, Walking on Sunshine,11103395_1658122392322, 화~토 11:30 ~ 20:30/ 월 휴무,127.020674236,37.589371645," 스무디볼, 수제 그래놀라 ",http://www.instagram.com/walking__onsunshine_,1,POINT(127.020674236 37.589371645),https://m.smartstore.naver.com/walkingonsunshine,2,성북구,1,서울특별시 성북구 보문로30가길 17,1,서울특별시 성북구 동선동2가 194,02-6012-5931
1, 카페 그뢴,zerowaste_0074," 월~금 08:00~19:00, 토 10:00~17:00, 일 휴무",127.126334836,37.533707350," 음료(직업 로스팅한 스페셜티 커피, 티, 수제 과일청) ",http://www.instagram.com/cafe_gron,1,POINT(127.126334836 37.53370735),m.smartstore.naver.com/cafe_gron/,2,강동구,1,서울특별시 강동구 풍성로37길 41,1,서울특별시 강동구 성내동 139-4,0507-1348-6068
2,1.5도씨,zerowaste_0024,10:00-20:00 / 월요일 휴무,126.912583627,37.483568434,"커피,화장품리필,세제리필.플라스틱이 나오지 않는 물건",http://www.instagram.com/1.5_do_c,1,POINT(126.91258 37.48357),https://linktr.ee/1.5_do_c,2,관악구,3,서울특별시 관악구 조원로18길 15,1,서울특별시 관악구 신림동 531,0507-1355-9173
3,CSJ COFFEE,zerowaste_2023_046,"월~금 09:00 ~ 18:00, 일 휴무",127.058050888,37.558632628,커피 음료,https://www.instagram.com/csjcoffee/?hl=ko,1,POINT(127.058050888 37.558632628),-,2,성동구,1,서울특별시 성동구 자동차시장길 49,1,서울특별시 성동구 용답동 250-14,-
4,GS25 DX LAB점,zerowaste_2023_018,연중 24시간 운영,127.040690000,37.502400000,,,1,POINT(127.04069 37.5024),http://gs25.gsretail.com/,2,강남구,1,서울특별시 강남구 테헤란로 223,1,서울특별시 강남구 역삼동 677-25,-
5,HK이노엔_사내카페,zerowaste_2023_031,"월~금 09:00 ~ 18:00, 토,일 휴무",126.988150000,37.565650000,커피 음료,,1,POINT(126.98815 37.56565),http://www.inno-n.com,2,중구,1,서울특별시 중구 을지로 100,1,서울특별시 중구 을지로2가 203,02-6477-0000
6,SK T보라매 사옥_아이갓에브리씽,zerowaste_2023_028,월~금 08:30 ~ 21:00,126.926470000,37.492210000,커피 음료,,1,POINT(126.92647 37.49221),-,2,관악구,1,서울특별시 관악구 보라매로5길 1,1,서울특별시 관악구 봉천동 729-1,02-840-1570
7,SK T타워_사내카페 (신세계푸드),zerowaste_2023_001,"월~금 09:00 ~ 18:00, 토,일 휴무",126.985110000,37.566490000,커피 음료,https://www.instagram.com/sktelecom/,1,POINT(126.98511 37.56649),www.sktelecom.com,2,중구,1,서울특별시 중구 을지로 65,1,서울특별시 중구 을지로2가 11,02-6100-2114
8,SK T타워_사내카페 (후니드),zerowaste_2023_002,"월~금 09:00 ~ 18:00, 토,일 휴무",126.985110000,37.566490000,커피 음료,https://www.instagram.com/sktelecom/,1,POINT(126.98511 37.56649),www.sktelecom.com,2,중구,1,서울특별시 중구 을지로 65,1,서울특별시 중구 을지로2가 11,02-6100-2114
9,THE YOUNG(더영),zerowaste_2023_094,"월~금 07:00 ~ 20:00, 토 09:00 ~ 17:00, 일 휴무",126.892950000,37.578520000,커피 음료,,1,POINT(126.89295 37.57852),-,2,마포구,1,서울특별시 마포구 매봉산로 75,1,서울특별시 마포구 상암동 1610,0507-1493-5556
10,㈜리싸이클시티,11103395_1651060333290,"월~일 09:00~18:00
",127.156964748,37.557012452,"제로웨이스트제품(생활/주방/욕실용품), 리필",,1,POINT(127.15697 37.55701),https://lwww.rety.co.kr,2,강동구,5,서울특별시 강동구 동남로 930,1,서울특별시 강동구 고덕동 302,-1588-8425
11,감탄상회,zerowaste_2022041,"월-일 10:00-20:00  연중무휴
",126.943191527,37.499355822,"친환경생필품, 대나무칫솔, 세안비누, 대나무화장지 등",https://www.instagram.com/gamtan_store/,1,POINT(126.94319 37.499355),https://www.instagram.com/gamtan_store/,2,동작구,5,서울특별시 동작구 양녕로29길 16,1,서울특별시 동작구 상도동 208-23,0507-1312-9324
12,곰냥콩냥드루와,zerowaste_2023_082,"화~일 10:00 ~ 22:00, 월 휴무",126.847980000,37.530090000,커피 음료,,1,POINT(126.84798 37.53009),-,2,강서구,1,서울특별시 강서구 강서로 24,1,서울특별시 강서구 화곡동 894-18,0507-1326-7939
